idSerie,título,anioLanzamiento,resumen
1,Flash,2014,Nueve meses después de la explosión en el laboratorio S.T.A.R. Barry despierta del coma y descubre que tiene el poder de la supervelocidad
2,La Casa de Papel,2017,Una banda organizada de ladrones se propone cometer el atraco del siglo en la Fábrica Nacional de Moneda y Timbre
3,Fallout,2024,En un futuro posapocalíptico provocado por la devastación nuclear los ciudadanos de Los Ángeles deben vivir en búnkeres subterráneos para protegerse de la radiación los mutantes y los bandidos
4,Dark,2017,La desaparición de dos niños muestra los vínculos entre cuatro familias y expone el pasado de una pequeña ciudad
5,Yakamozs245,2022,Luego de que un desastre azota la Tierra un biólogo se embarca en una misión de investigación submarina debe luchar para sobrevivir con la tripulación mientras sale a la luz una conspiración
6,El Camino de la Noche,2020,Cuando un misterioso desastre cósmico golpea la Tierra los sobrevivientes en un vuelo nocturno desde Bruselas tratan de encontrar refugio y escapar de los rayos del sol
7,El Barco,2011,Un cataclismo global provocado por un fatal accidente en Ginebra Suiza durante la ejecución del acelerador de partículas conduce a la tripulación y los alumnos de un barco-escuela a vivir la mayor aventura de su vida
8,Pecezuelos,2010,Un trío de peces los hermanos Milo y Oscar acompañados por el pez dorado Bea van a la escuela del acuario en una tienda de mascotas Ellos lidian con los temas usuales de un adolescente
9,Baby,2018,Durante el día Chiara es una estudiante prometedora en una de las escuelas secundarias privadas más selectas de Roma Por la nocheChiara lleva una vida secreta escandalosa
10,Seal Team,2017,Drama militar que sigue la vida profesional y personal de la unidad de élite Navy SEAL durante su entrenamiento planeamiento y ejecución de las misiones encomendadas más peligrosas furtivas y de alto riesgo
